Teks,,,,,,,,,Label
"Bayern Munich honorary president Uli Hoeness says he expects a decision within a week on a new coach to replace Thomas Tuchel. Tuchel is leaving at the end of the season after Bayern was beaten to the Bundesliga title by Bayer Leverkusen, although the team is facing Real Madrid in the Champions League semifinals next week.",,,,,,,,,Sport
"Since Tuchel’s departure was announced in February, Bayern has missed out on signing Leverkusen coach Xabi Alonso and Germany’s Julian Nagelsmann, both of whom opted to stay with their teams. Since then, Austria coach Ralf Rangnick, formerly of Manchester United, has said he has been in contact with Bayern.",,,,,,,,,Sport
Jurgen Klopp has told Arne Slot that he would be taking over the “best job in the world” if the Dutchman is appointed as the next Liverpool manager. Klopp had been hoping to go out on top by leading Liverpool to a second league title of his reign. But a 2-0 loss at Everton on Wednesday has left Arsenal and Manchester City as the leading contenders to be crowned champion. Liverpool was also eliminated in the Europa League quarterfinals by Atalanta.,,,,,,,,,Sport
Enzo Fernandez has undergone surgery and will miss the remainder of Chelsea’s season. The Premier League club posted an injury update on social media Friday saying the 23-year-old midfielder “has undergone successful surgery on a groin issue and will now begin a period of rehabilitation.”,,,,,,,,,Sport
"When cancer cells meet their demise, their membranes usually become compromised, as occurs in apoptosis, a form of programmed cell death that removes unneeded or damaged cells from the body.  Once the molecular switches that trigger apoptosis are flipped ""on,"" the dying cell shrinks and bits of its membrane break away in ""blebs.""",,,,,,,,,Health
"Doctors have long known that syphilis can permanently damage a person’s vision and hearing and can even lead to psychiatric changes, but these symptoms are usually associated with infections that have gone undiagnosed and untreated for years. More than two-thirds of these patients (68%) lacked typical syphilis symptoms, like a rash or chancre sore, that might tip doctors off to the infection. “Providers definitely need to be screening more and be aware that this is what we’re seeing,” said lead study author Dr. Amy Nham, who is a first year EIS officer, or “disease detective,” assigned to the Chicago Department of Public Health. Syphilis cases are surging across the US. In 2022, there were more than 207,000 syphilis cases reported, the highest number since the 1950s, according to the US Centers for Disease Control and Prevention.",,,,,,,,,Health
"The subject, 54-year-old Lisa Pisano of New Jersey, had heart failure and end-stage kidney disease that required routine dialysis, NYU Langone said in a news release. But she couldn’t have a standard heart or kidney transplant because of other chronic medical conditions that “significantly reduced the likelihood of a good outcome” and because of an overall lack of donor organs in the US. “I’ve tried everything else, and I’ve exhausted all other resources. So when this opportunity came, I said, ‘I’m gonna take advantage of it,’ ” she said, hoping to “spend time with my grandkids and play with them.”",,,,,,,,,Health
"Shares of Barclays rose nearly 7% on Thursday after the bank reported first-quarter net income attributable to shareholders of £1.55 billion ($1.93 billion), beating expectations and returning the British lender to profit amid a major strategic overhaul.",,,,,,,,,Finance
Foden’s first-half double came between goals by Kevin De Bruyne and Julian Alvarez as City extended its unbeaten run in the league to 18 games and trimmed the gap to leader Arsenal to one point. Liverpool is two points further back in third after its title chances were damaged by a 2-0 loss at Everton on Wednesday.,,,,,,,,,Sport
"Joel Embiid, star center for the Philadelphia 76ers, revealed on Thursday that he has been battling through a Bell's Palsy diagnosis for the past 10 days, playing through the diagnosis as the Sixers feel their backs against the wall. Embiid shared the news of his condition with the media after Game 3's 125-113 win by Philly.",,,,,,,,,Sport
"Deutsche Bank shares popped to a more than six-year high on Thursday, after the German lender reported a 10% rise in first-quarter profit, beating expectations amid an ongoing recovery in its investment banking unit. Shares of Deutsche Bank provisionally ended the trading session up 8.2%.",,,,,,,,,Finance
"In preliminary experiments, the tool was able to distinguish between patients with diagnosed pancreatic, gastric or colorectal cancer and people without cancer — and the analysis took just minutes. By detecting certain chemicals in blood, the test could identify when a patient had cancer around 82% to 100% of the time, researchers say.",,,,,,,,,Health
"In new research, scientists have found that several bacteria responsible for life-threatening bloodstream infections enter our blood because they are attracted to the liquid, or serum, within it. This is most likely because human blood contains a molecule — the amino acid L-serine — that bacteria can use as food. The researchers behind the study have dubbed this phenomenon ""bacterial vampirism.""",,,,,,,,,Health
"Cancer patients are also getting younger. Cancer diagnoses among those under 50 has risen by about 80% worldwide over the past 30 years. As of 2023, cancer is the second-leading cause of death both in the U.S. and around the world. While death rates from cancer have decreased over the past few decades, about 1 in 3 patients in the U.S. and 1 in 2 patients worldwide still die from cancer.",,,,,,,,,Health
"Everton announced in September that it had signed an agreement to sell the club to an American investment firm, 777 Partners. But seven months later, the Premier League has still not granted more than conditional approval of the deal amid questions about 777’s financials. Of perhaps more concern is the state of the 146-year-old club’s finances. Everton has now borrowed about £160 million (almost $200 million) from 777 Partners, a privately held investment company — cash infusions that have been required to help the team stave off bankruptcy.",,,,,,,,,Finance
"As U.S. inflation worries grow, some investors are preparing for the 10-year U.S. Treasury yield to breach a 16-year high of 5% hit last October. Bond yields, which move inversely to prices, have climbed in recent weeks as signs of persistent inflation erode expectations for how deeply the Federal Reserve will be able to cut interest rates without further fueling consumer prices. The yield on the benchmark 10-year note is up 80 basis points this year and last stood at 4.70%, a five-month high.",,,,,,,,,Finance
"Many investors are betting further weakness lies ahead for bonds. Global fund managers' fixed income allocations in the latest BofA Global Research survey are down to their lowest level since 2003. Bearish Treasury positioning among some classes of hedge funds stands at its highest level of the year, according to BofA data, even as other asset managers have increased their bullish bets.",,,,,,,,,Finance
"Deutsche Bank on Friday said it expected to be impacted by a legal provision in the second quarter of 2024 after the Higher Regional Court of Cologne indicated it may find claims of certain former Postbank shareholders linked to the unit's takeover valid. The court's statements will impact Deutsche Bank's estimation of the probability of a future outflow and result in a legal provision, the bank said in a statement, which could be up to the estimated full amount of claims of approximately 1.3 billion euros ($1.39 billion).",,,,,,,,,Finance
